Latitude,Longitude,RowID,IncidentNumber,ArrestNumber,Age,Sex,Race,ArrestDateTime,ArrestLocation,IncidentOffence,IncidentLocation,Charge_CJIS,ChargeDescription,District,Post,Neighborhood,GeoLocation,Shape,geometry,longitude,latitude,address_test,c_cjisid,c_chargeid,c_cjiscode,c_class,c_describe35,c_describe70,Detail,c_date_begin,c_date_end,c_article,c_section,c_subsec,c_paragraph,c_felony,c_jailable,c_phrqd,c_maxfine,c_timetype,c_timeamt,c_ruleno,c_description,c_notes,c_mod_date,c_new_date,describe_test,Charge
39.316,-76.5964,67670,24J08140,24170776,18.0,Male,Black,2024-10-24 23:24:00+00:00,2300 HARFORD RD,Unknown Offense,2300 HARFORD RD,1 0826,CAR JACKING / ROBBERY,Eastern,314,East Baltimore Midway,"(39.316,-76.5964)",,POINT (-76.5964 39.316),-76.5964,39.316,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.316,-76.5964,67670,24J08140,24170776,18.0,Male,Black,2024-10-24 23:24:00+00:00,2300 HARFORD RD,Unknown Offense,2300 HARFORD RD,1 0826,CAR JACKING / ROBBERY,Eastern,314,East Baltimore Midway,"(39.316,-76.5964)",,POINT (-76.5964 39.316),-76.5964,39.316,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.3189,-76.554,106546,24I04746,24150142,19.0,Male,Black,2024-09-17 15:55:00+00:00,4700 SINCLAIR LN,Unknown Offense,4700 SINCLAIR LN,1 0826,GRAND THEFT AUTO,Northeast,427,Parkside,"(39.3189,-76.554)",,POINT (-76.554 39.3189),-76.554,39.3189,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3189,-76.554,106546,24I04746,24150142,19.0,Male,Black,2024-09-17 15:55:00+00:00,4700 SINCLAIR LN,Unknown Offense,4700 SINCLAIR LN,1 0826,GRAND THEFT AUTO,Northeast,427,Parkside,"(39.3189,-76.554)",,POINT (-76.554 39.3189),-76.554,39.3189,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.3155,-76.5757,123518,24H10226,24140499,20.0,Male,Black,2024-09-01 15:00:00+00:00,3400 RAVENWOOD AVE,Unknown Offense,3400 RAVENWOOD AVE,1 0826,CARJACKING,Eastern,322,Four By Four,"(39.3155,-76.5757)",,POINT (-76.5757 39.3155),-76.5757,39.3155,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3155,-76.5757,123518,24H10226,24140499,20.0,Male,Black,2024-09-01 15:00:00+00:00,3400 RAVENWOOD AVE,Unknown Offense,3400 RAVENWOOD AVE,1 0826,CARJACKING,Eastern,322,Four By Four,"(39.3155,-76.5757)",,POINT (-76.5757 39.3155),-76.5757,39.3155,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.3256,-76.5588,196883,24F08290,24104024,23.0,Male,Black,2024-06-25 10:15:00+00:00,4500 BOWLEYS LN,Unknown Offense,4500 BOWLEYS LN,1 0826,ARMED CARJACKING,Northeast,427,Frankford,"(39.3256,-76.5588)",,POINT (-76.5588 39.3256),-76.5588,39.3256,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3256,-76.5588,196883,24F08290,24104024,23.0,Male,Black,2024-06-25 10:15:00+00:00,4500 BOWLEYS LN,Unknown Offense,4500 BOWLEYS LN,1 0826,ARMED CARJACKING,Northeast,427,Frankford,"(39.3256,-76.5588)",,POINT (-76.5588 39.3256),-76.5588,39.3256,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
39.3143,-76.5756,234496,24E04264,24079754,21.0,Male,Black,2024-05-15 00:02:00+00:00,3000 SINCLAIR LN,Unknown Offense,3000 SINCLAIR LN,1 0826,ROBBERY,Eastern,324,Four By Four,"(39.3143,-76.5756)",,POINT (-76.5756 39.3143),-76.5756,39.3143,True,428.0,428.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,1970-01-01,2002-09-30,27,348A,,,Y,Y,Y,0.0,Y,30.0,,"did obtain unauthorized possession and control of  a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force, violence, and employing and displaying a dangerous and deadly weapon/placing said individual in fear through intimidation, threat of force and violence, and employment and display of a  dangerous and deadly weapon].",,2002-09-09,1998-11-10,True,Armed Carjacking/Attempted
39.3143,-76.5756,234496,24E04264,24079754,21.0,Male,Black,2024-05-15 00:02:00+00:00,3000 SINCLAIR LN,Unknown Offense,3000 SINCLAIR LN,1 0826,ROBBERY,Eastern,324,Four By Four,"(39.3143,-76.5756)",,POINT (-76.5756 39.3143),-76.5756,39.3143,True,7204.0,11830.0,10826.0,,ARMED CARJACKING,ARMED CARJACKING,ARMED CARJACKING,2002-10-01,,CR,3,405,(c)(1),Y,Y,Y,0.0,Y,30.0,,"...did obtain unauthorized [possession/control] of a motor vehicle, to wit: _____ (describe) from _____ (name of victim) who was then and there in actual possession of the motor vehicle by [force/violence/placing said individual in fear through intimidation/threat of force/threat of violence] and [employ/display] a dangerous weapon during the commission of the carjacking.",,2014-02-10,2002-09-09,True,Armed Carjacking/Attempted
